name,Region,year,y_diff,pop_n,pop_u,wat_bas_n,wat_bas_n(rounded),wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_bas_r(rounded),wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_bas_u(rounded),wat_lim_u,wat_unimp_u,wat_sur_u,ARC_N,ARC_N(full),ARC_N(filtered),ARC_R,ARC_R(full),ARC_R(filtered),ARC_U,ARC_U(full),ARC_U(filtered),ARC_DIFF
Ecuador,Latin America & Caribbean,2020,5,17643.06055,64.16600037,95.35976356,95,0.003451463449,2.604485389,2.032299589,87.05074495,87,0.009631811022,7.26819549,5.671427747,100,100,0,0,0,,,,,,,,,,
Egypt,Middle East & North Africa,2015,,92442.54688,42.78499985,99.10671754,99,0.2863725401,0.5934398293,0.01347009398,98.80187792,99,0.4103462964,0.7642328381,0.02354294118,99.51436973,100,0.1205864308,0.3650438422,0,0.066691684,,0.066691684,0.106191446,,0.106191446,0.013872274,Full access,0.013872274,0.092319172
Egypt,Middle East & North Africa,2020,5,102334.4063,42.78300095,99.44017596,99,0.2376091086,0.3222149265,0,99.33283515,99,0.3359418224,0.3312230319,0,99.5837311,100,0.1061012067,0.3101676943,0,,,,,,,,,,
El Salvador,Latin America & Caribbean,2015,,6325.121094,69.69999695,95.56213774,96,0.580479777,1.161950545,2.695431942,87.96121432,88,1.734743718,2.481033956,7.823008005,98.86641785,99,0.07869797757,0.5885128896,0.4663712861,0.476887534,,0.476887534,1.098636152,,1.098636152,0.140890432,,0.140890432,0.95774572
El Salvador,Latin America & Caribbean,2020,5,6486.201172,73.44400024,97.94657541,98,0.2072632319,0.3151739969,1.530987366,93.45439508,93,0.7804762049,0,5.765128712,99.57087001,100,0,0.4291299944,0,,,,,,,,,,
Equatorial Guinea,Sub-Saharan Africa,2015,,1168.574951,70.61600494,64.17860165,64,2.934933836,26.32879888,6.557665631,30.77536932,31,1.353579774,46.28605636,21.58499455,78.07800598,78,3.592950383,18.02439455,0.3046490909,0.243607205,,0.243607205,0,,0,0,,0,0
Equatorial Guinea,Sub-Saharan Africa,2017,2,1262.008057,71.64599609,64.66581606,65,2.957999225,26.03770633,6.338478386,30.77536932,31,1.353579774,46.28605636,21.58499455,78.07800598,78,3.592950383,18.02439455,0.3046490909,,,,,,,,,,
Eritrea,Sub-Saharan Africa,2015,,3342.818115,38.20600128,51.46509353,51,17.70763334,13.55609825,17.27117488,27.80157647,28,24.49842353,20.075,27.625,89.73822453,90,6.724275474,3.0125,0.525,0.38462665,,0.38462665,0,,0,0,,0,0
Eritrea,Sub-Saharan Africa,2016,1,3376.558105,38.82699966,51.84972018,52,17.59725585,13.45014014,17.10288384,27.80157647,28,24.49842353,20.075,27.625,89.73822453,90,6.724275474,3.0125,0.525,,,,,,,,,,
Estonia,Europe & Central Asia,2015,,1315.329956,68.41600037,99.75130757,100,0,0.2486924289,0,99.24411581,99,0,0.7558841903,0,99.98545421,100,0,0.01454579307,0,-0.032105158,Full access,-0.032105158,Null,,Null,0,Full access,0,
Estonia,Europe & Central Asia,2020,5,1326.53894,69.22900391,99.59078178,100,0,0.4092182232,0,null,null,null,null,null,99.98545421,100,0,0.01454579307,0,,,,,,,,,,
Eswatini,Sub-Saharan Africa,2015,,1104.037964,23.29999924,66.70395522,67,8.767617333,10.89011026,13.63831719,58.1249849,58,11.1820493,13.43987898,17.25308683,94.94460013,95,0.8196803222,2.496665561,1.73905399,0.809823146,,0.809823146,0.868292768,,0.868292768,0.361032584,,0.361032584,0.507260184
Eswatini,Sub-Saharan Africa,2020,5,1160.16394,24.17100143,70.75307095,71,9.507067163,9.835567931,9.904293959,62.46644874,62,12.29969513,12.45046093,12.78339519,96.74976305,97,0.7460644731,1.632164244,0.8720082294,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,2015,,100835.4531,19.4280014,42.0700672,42,21.73879027,24.47785615,11.71328639,32.45176743,32,23.5985521,29.78155581,14.16812467,81.95917654,82,14.02596733,2.482299691,1.532556439,1.509101108,,1.509101108,1.515674352,,1.515674352,0.450730324,,0.450730324,1.064944028
Ethiopia,Sub-Saharan Africa,2020,5,114963.5859,21.69499969,49.61557274,50,26.74071964,18.63506013,5.008647486,40.03013919,40,30.18668334,23.49561327,6.287564203,84.21282816,84,14.30300858,1.091582355,0.392580896,,,,,,,,,,
Faeroe Islands,Europe & Central Asia,2015,,48.05500031,41.63799667,100,100,0,0,0,null,null,null,null,null,null,null,null,null,null,0,Full access,,Null,,,Null,,,
Faeroe Islands,Europe & Central Asia,2020,5,48.86500168,42.39799881,100,100,0,0,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
Falkland Islands (Malvinas),Latin America & Caribbean,2015,,2.835999966,76.26800537,94.82000666,95,0,5.179993343,0,78.17294282,78,0,21.82705718,0,100,100,0,0,0,0.097784148,,0.097784148,0,,0,0,Full access,,0
Falkland Islands (Malvinas),Latin America & Caribbean,2020,5,3.48300004,78.50799561,95.3089274,95,0,4.691072596,0,78.17294282,78,0,21.82705718,0,100,100,0,0,0,,,,,,,,,,
Fiji,East Asia & Pacific,2015,,868.632019,54.72599792,94.26255867,94,0,3.419365936,2.318075395,89.37852739,89,0,5.829467811,4.792004795,98.30304467,98,0,1.425524712,0.2714306142,0.007701314,,0.007701314,-0.058100668,,-0.058100668,-0.021760122,,-0.021760122,-0.036340546
Fiji,East Asia & Pacific,2020,5,896.4439697,57.24700546,94.30106524,94,0,3.318602766,2.380331999,89.08802405,89,0,5.759897938,5.152078012,98.19424406,98,0,1.495409344,0.3103465922,,,,,,,,,,
Finland,Europe & Central Asia,2015,,5481.12793,85.22499847,99.99999666,100,0,0.00000334065308,0,100,100,0,0,0,100,100,0,0,0,0.000001328000002,Full access,0.000001328000002,0,Full access,,0,Full access,,0
Finland,Europe & Central Asia,2020,5,5540.717773,85.51700592,100.0000033,100,0,0,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
France,Europe & Central Asia,2015,,64453.19531,79.65499878,100,100,0,0,0,100,100,0,0,0,100,100,0,0,0,-0.0000002999999992,Full access,,0,Full access,,0,Full access,,0
France,Europe & Central Asia,2020,5,65273.51172,80.97499847,99.9999985,100,0,0.00000149610841,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
French Guiana,Latin America & Caribbean,2015,,261.0079956,84.48200226,93.56205657,94,0,6.437943425,0,null,null,null,null,null,null,null,null,null,null,0.044031956,,0.044031956,Null,,,Null,,,
French Guiana,Latin America & Caribbean,2020,5,298.6820068,85.81999969,93.78221635,94,0,6.217783652,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
French Polynesia,East Asia & Pacific,2015,,273.118988,61.68300247,100,100,0,0,0,null,null,null,null,null,null,null,null,null,null,0,Full access,,Null,,,Null,,,
French Polynesia,East Asia & Pacific,2020,5,280.9039917,61.97500229,100,100,0,0,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
Gabon,Sub-Saharan Africa,2015,,1947.689941,88.11799622,83.85848655,84,7.722430434,4.92418211,3.494900901,43.39003316,43,10.19264777,21.81093263,24.60638644,89.31533187,89,7.389341617,2.647139145,0.6481873668,0.29668881,,0.29668881,0.27117117,,0.27117117,0.09824146,,0.09824146,0.17292971
